EVTOPTA250002;A dream gone to waste...;Un rêve perdu...;Ein verschwendeter Traum...;Sen poszed³ na marne...;Un sueño perdido...;Un sogno andato sprecato...;Egy álom ment veszendõbe...;Sen vysloužil...;Egy álom ment veszendõbe...;Een droom gegaan om te verspillen...;Um sonho perdido...;Ìå÷òà ïðîïàëà...;Unelma mennyt hukkaan...;x
EVTDESC250003;Shall we join the Thousand Years Reich?;Devrions-nous nous joindre au Reich des Mille Ans?;Sollen wir dem Tausendjährigen Reich beitreten?;Powinniœmy przy³¹czyæ siê do tysiêcy lat Rzeszy?;¿Nos uniremos al Reich de los Mil Años?;Dobbiamo unirci all'Impero di Mille Anni?;Csatlakozunk a Thousand Years Reich?;Máme se pøipojit k tisícileté øíši?;Csatlakozunk a Thousand Years Reich?;Zullen we lid worden van de Thousand Years Reich?;Vamos nos unir ao Reich dos Mil Anos?;Ïðèñîåäèíèòåñü ê Òûñÿ÷åëåòíåìó Ðåéõó?;Onko meidän liittyä tuhatvuotinen valtakunnan?;x
EVTOPTA250003;Gott erhalte unser Kaiser!;Gott erhalte unser Kaiser!;Gott erhalte unser Kaiser!;Gott erhalte Unser Kaiser!;Gott erhalte unser ¡Kaiser!;Gott erhalte Unser Kaiser!;Gott erhalte Unser Kaiser!;Gott erhalte unser Kaiser!;Gott erhalte Unser Kaiser!;Gott erhalte unser Kaiser!;Gott erhalte unser Kaiser!;Ãîòò åðõàëüòå èíñåð Êàéñåð!;Gott erhalte unser Kaiser!;x
EVTOPTB250003;We cast aside this ancient notion! We have our own glory.;Nous rejetons cette ancienne notion! Nous avons notre propre gloire.;Wir verwerfen diese alte Vorstellung! Wir haben unsere eigene Herrlichkeit.;Mamy odrzuci³ te staro¿ytna idee! Mamy w³asna chwale.;Desechamos esta noción antigua! Tenemos nuestra propia gloria.;Abbiamo gettato via questa anticaglia! Noi abbiamo la nostra gloria.;Mi öntött el ezt az õsi elképzelés! Megvan a saját dicsõségét.;Odkládáme tento starodávný pojem stranou! Máme vlastní slávu.;Mi öntött el ezt az õsi elképzelés! Megvan a saját dicsõségét.;We werpen dit oude idee! We hebben onze eigen glorie.;Nós jogamos fora esta noção antiga! Temos a nossa própria glória.;Ìû îòáðîñèëè ýòî äðåâíåå ïîíÿòèå! Ó íàñ åñòü íàøà ñëàâà.;Me heitimme pois tämä vanha käsite! Meillä on oma kunniaa.;x
EVTNAME250005;Leave the Holy Roman Empire;Quitter le Saint Empire Romain;Verlassen Sie das Heilige Römische Reich;Opuść Święte Cesarstwo Rzymskie;Abandonar el Sacro Imperio Romano Germánico;Lascia il Sacro Romano Impero;Hagyja el a Szent Római Birodalmat;Opusťte Svatou říši římskou;Hagyja el a Szent Római Birodalmat;Verlaat het Heilige Roomse Rijk;Sair do Sacro Império Romano;Ïîêèíüòå Ñâÿùåííóþ Ðèìñêóþ èìïåðèþ;Jätä Pyhä Rooman valtakunta;x
EVTDESC250005;With the old duke of $FROMCOUNTRY$ now in exile, we have effectively lost the protection of the Holy Roman Emperor.;Avec l'ancien duc de $FROMCOUNTRY$ maintenant en exil, nous avons effectivement perdu la protection de l'empereur romain.;Da der alte Herzog von $FROMCOUNTRY$ jetzt im Exil ist, haben wir praktisch den Schutz des Heiligen Römischen Kaisers verloren.;Gdy stary książę $FROMCOUNTRY$ znajduje się na wygnaniu, skutecznie straciliśmy ochronę cesarza Świętego Rzymu.;Con el antiguo duque de $FROMCOUNTRY$ ahora en el exilio, hemos perdido efectivamente la protección del Emperador del Sacro Imperio Romano.;Con il vecchio duca di $FROMCOUNTRY$ ora in esilio, abbiamo effettivamente perso la protezione del Sacro Romano Imperatore.;Mivel $FROMCOUNTRY$ régi hercege most száműzetésben van, gyakorlatilag elvesztettük a Szent Római Császár védelmét.;Se starým vévodou $FROMCOUNTRY$, který je nyní v exilu, jsme účinně ztratili ochranu císaře Svaté říše římské.;Mivel $FROMCOUNTRY$ régi hercege most száműzetésben van, gyakorlatilag elvesztettük a Szent Római Császár védelmét.;Met de oude hertog van $FROMCOUNTRY$ nu in ballingschap, hebben we in feite de bescherming van de Heilige Roomse keizer verloren.;Com o velho duque de $FROMCOUNTRY$ agora no exílio, perdemos efetivamente a proteção do Sacro Imperador Romano.;Òåïåðü, êîãäà ñòàðûé ãåðöîã $FROMCOUNTRY$ íàõîäèòñÿ â èçãíàíèè, ìû ôàêòè÷åñêè ïîòåðÿëè çàùèòó èìïåðàòîðà Ñâÿùåííîé Ðèìñêîé èìïåðèè.;Kun $FROMCOUNTRY$:n vanha herttua on nyt maanpaossa, olemme käytännössä menettäneet Pyhän Rooman keisarin suojan.;x
EVTOPTA250005;We stand alone;Nous sommes seuls;Wir stehen allein;Stoimy sami;Nosotros estamos solos;Siamo soli;Egyedül állunk;Stojíme sami;Egyedül állunk;We staan alleen;Nós estamos sozinhos;Ìû îäèíîêè;Seisomme yksin;x
EVTNAME250005_NEWS_TITLE;$COUNTRY$ leaves HRE;;;;;;;;;;;;;X
EVTDESC250005_NEWS_LONG;$FROMCOUNTRY_ADJ$ revolutionaries have overthrown the Imperial Prince. There are already reports about the Emperor mobilizing to recover his land and bring it back under the wing of the Holy Roman Empire.;;;;;;;;;;;;;X
EVTDESC250005_NEWS_MEDIUM;$FROMCOUNTRY_ADJ$ revolutionaries have overthrown the Imperial Prince. There are already reports about the Emperor mobilizing to recover his land and bring it back under the wing of the Holy Roman Empire.;;;;;;;;;;;;;X
EVTDESC250005_NEWS_SHORT;$FROMCOUNTRY_ADJ$ revolutionaries have overthrown the Imperial Prince. The Holy Roman Emperor is not pleased with this.;;;;;;;;;;;;;X
EVTNAME250006;$FROMCOUNTRY$ left the Holy Roman Empire;;;;;;;;;;;;;X
EVTDESC250006;$FROMCOUNTRY_ADJ$ revolutionaries have overthrown the Imperial Prince. It is our obligation to recover his land and bring it back under the wing of the Holy Roman Empire.;;;;;;;;;;;;;X
EVTOPTA250006;Sure;;;;;;;;;;;;;X
EVTNAME250007;$FROMCOUNTRY$ left the Holy Roman Empire;;;;;;;;;;;;;X
EVTDESC250007;$FROMCOUNTRY_ADJ$ revolutionaries have overthrown the Imperial Prince. Hopefully, the Emperor will soon recover his land and bring it back under the wing of the Holy Roman Empire.;;;;;;;;;;;;;X
EVTOPTA250007;We'll see;;;;;;;;;;;;;X
EVTNAME250008;Return to the Holy Roman Empire;;;;;;;;;;;;;X
EVTDESC250008;The Imperial Prince has been reinstated in $COUNTRY$ after being exiled from his domain by the revolutionaries. The Emperor has managed to recover his land and bring it back under the wing of the Holy Roman Empire.;;;;;;;;;;;;;X
EVTOPTA250008;Excellent;;;;;;;;;;;;;X
EVTNAME250008_NEWS_TITLE;$COUNTRY$ rejoins HRE;;;;;;;;;;;;;X
EVTDESC250008_NEWS_LONG;The Imperial Prince has been reinstated in $COUNTRY$ after being exiled from his domain by the revolutionaries. The Emperor has managed to recover his land and bring it back under the wing of the Holy Roman Empire.;;;;;;;;;;;;;X
EVTDESC250008_NEWS_MEDIUM;The Imperial Prince has been reinstated in $COUNTRY$ after being exiled from his domain by the revolutionaries. The Emperor has managed to recover his land and bring it back under the wing of the Holy Roman Empire.;;;;;;;;;;;;;X
EVTDESC250008_NEWS_SHORT;The Imperial Prince has been reinstated in $COUNTRY$ after being exiled from his domain by the revolutionaries.;;;;;;;;;;;;;X
NORMAL_IMPERIAL_BAN_NAME;$ORDER$$FIRST$-$SECOND$ War of Imperial Restoration;;;;;;;;;;;;;
AGRESSION_IMPERIAL_BAN_NAME;$ORDER$$FIRST$-$SECOND$ War of Imperial Restoration;;;;;;;;;;;;;
imperial_ban;Imperial Ban;;;;;;;;;;;;;
imperial_ban_desc;Reinstate the overthrown Imperial Prince as our vassal;;;;;;;;;;;;;
imperial_ban_short;Reinstate the Imperial Prince;;;;;;;;;;;;
imperial_ban_setup;Reinstate the Imperial Prince in $RECIPIENT$ as our vassal;;;;;;;;;;;;;
NORMAL_IMPERIAL_LIBERATION_NAME;$ORDER$$FIRST$-$SECOND$ War of Imperial Liberation;;;;;;;;;;;;;
AGRESSION_IMPERIAL_LIBERATION_NAME;$ORDER$$FIRST$-$SECOND$ War of Imperial Liberation;;;;;;;;;;;;;
imperial_liberation;Imperial Liberation;;;;;;;;;;;;;
imperial_liberation_desc;Reinstate the Imperial Prince;;;;;;;;;;;;;
imperial_liberation_short;$THIRD$ acquires $STATE$;;;;;;;;;;;;
imperial_liberation_setup;Return $STATE$ to $THIRD$ from $RECIPIENT$;;;;;;;;;;;;;
emperor_hre;Holy Roman Emperor;;;;;;;;;;;;;
member_hre;Member of HRE;;;;;;;;;;;;;
same_faith_as_emperor;Same faith as HRE Emperor;;;;;;;;;;;;;
diff_faith_than_emperor;Different faith than HRE Emperor;;;;;;;;;;;;;
